episode,total_reward,steps,emergency_delays,emergency_rejections,unsafe_discharges,icu_admissions,general_admissions,successful_discharges,queue_congestion_events,invalid_actions,invalid_action_rate
0,-191461.10000000015,500,31,31,0,1,1,7,0,240,0.48
1,-176538.30000000013,500,39,39,0,0,0,1,0,252,0.504
2,-211558.50000000012,500,39,38,0,0,0,2,0,275,0.55
3,-140473.80000000005,500,32,32,0,0,0,1,0,250,0.5
4,-193496.4000000001,500,32,32,0,0,0,4,0,280,0.56
5,-155046.40000000008,500,35,35,0,0,0,3,0,226,0.452
6,-170188.00000000006,500,33,33,0,0,0,3,0,293,0.586
7,-193356.50000000015,500,30,29,0,0,0,3,0,246,0.492
8,-173642.8000000001,500,26,26,0,0,0,1,0,270,0.54
9,-165583.10000000003,500,37,37,0,0,1,4,17,239,0.478
10,-225840.7000000001,500,43,43,0,0,1,3,0,280,0.56
11,-200602.70000000016,500,24,24,0,0,0,3,79,263,0.526
12,-171606.20000000013,500,29,28,0,1,1,2,0,255,0.51
13,-148011.0000000001,500,34,33,0,0,1,3,0,242,0.484
14,-161393.6000000001,500,33,32,0,0,0,3,0,295,0.59
15,-152255.90000000005,500,33,33,0,0,2,2,20,256,0.512
16,-189809.90000000008,500,25,25,0,0,0,4,10,296,0.592
17,-252099.00000000006,500,34,34,0,0,0,2,0,267,0.534
18,-178618.40000000008,500,33,33,0,0,0,2,0,262,0.524
19,-194574.6000000001,500,29,29,0,0,2,0,0,304,0.608
